SL,Low,http://healthysleep.med.harvard.edu/healthy/getting/overcoming/tips,Keeping the bedroom dark and quite may help your sleep. ,Keeping the temperature comfortably cool and the bedroom well ventilated may help your sleep.,An hour of relaxing activities before bed may help your sleep., Taking a warm bath before bed may help your sleep.
SL,High,http://www.wikihow.com/Stop-Oversleeping,Set an alarm to wake up in the morning.,Depression might be a reason for oversleeping. Keep yourself optimistic. ,Overdosed alcohol may cause oversleeping. Drink under control.,
SL,Fluctuation,https://intermountainhealthcare.org/blogs/2014/02/simple-tips-for-a-better-night-sleep/,Proper sleep pills (subject to physician's approval) may help your irregular sleep. ,,,
AC,Low,http://www.hsph.harvard.edu/nutritionsource/tips-for-getting-exercise-into-your-life/,Any amount of exercise is better than none.,Maybe walk to shopping instead of driving.,Maybe cycling to work tomorrow.,A Zumba session might be a good idea.,Maybe walk upstairs instead of taking elevators.,  
AC,High,,Enough nutrients are needed for more activities.,,,
AC,Fluctuation,,,,,
BP,Low,http://www.wikihow.com/Raise-Low-Blood-Pressure,Drink plenty of water may help. Low blood pressure is often caused by dehydration.,Increasing salt intake increases blood volume (subject to physician's approval).,,
BP,High,http://www.besthealthmag.ca/get-healthy/blood-pressure/15-tips-to-help-lower-your-blood-pressure,Dark chocolate may help lower blood pressure.,Drink tea instead of coffee may help lower blood pressure.,Flaxseeds may help lower blood pressure.,Reducing sodium in your diet may help lower blood pressure.,Limiting the amount of alcohol you drink may help lower blood pressure.,Avoiding tobacco products and secondhand smoke may help lower blood pressure. 
BP,Fluctuation,,,,,
HB,Low,,,,,
HB,High,http://www.wikihow.com/Lower-Resting-Heart-Rate,Do aerobic exercise regularly on a gradually increased basis.,Reduce stress where possible.,Practise deep breath regularly. ,
HB,Fluctuation,,,,,
